"month","item","definition","uni_lemma","learned","value"
19,12,"기차","train",0,0
19,13,"배","boat",0,26
19,14,"버스","bus",0,61
19,15,"비행기","airplane",0,55
19,16,"불자동차/소방차","firetruck",0,0
19,18,"오토바이","motorcycle",0,34
19,19,"유모차","stroller",0,0
19,20,"자전거","bicycle",0,0
19,21,"차/자동차","car",1,36
19,23,"트럭","truck",0,26
19,27,"블록","block",0,0
19,28,"비누방울","bubbles",0,0
19,29,"선물","present",0,0
19,32,"장난감","toy",0,12
19,33,"종이","paper",0,0
19,34,"책","book",1,0
19,36,"크레용/크레파스","crayon",0,40
19,38,"풍선","balloon",1,83
19,40,"개구리","frog",0,112
19,41,"개미","ant",0,61
19,42,"거북이","turtle",0,139
19,43,"거위","goose",0,131
19,44,"고양이","cat",0,88
19,47,"기린","giraffe",0,123
19,49,"다람쥐","squirrel",0,114
19,50,"닭","chicken",0,135
19,51,"당나귀","donkey",0,106
19,52,"동물","animal",0,0
19,54,"말","horse",0,96
19,56,"뱀","snake",0,0
19,57,"벌","bee",0,0
19,58,"벌레","bug",0,0
19,59,"병아리","chick",0,0
19,60,"부엉이","owl",0,105
19,62,"사슴","deer",0,127
19,65,"소","cow",0,122
19,66,"송아지","calf",0,126
19,67,"악어","crocodile",0,117
19,69,"여우","fox",0,110
19,70,"염소","goat",0,113
19,72,"원숭이","monkey",0,0
19,73,"쥐","mouse",0,121
19,75,"코끼리","elephant",0,88
19,77,"펭귄","penguin",0,121
19,78,"하마","hippopotamus",0,0
19,80,"가방","bag",0,38
19,85,"목걸이","necklace",0,24
19,87,"목도리","scarf",0,71
19,92,"잠바","jacket",0,38
19,93,"잠옷","pajamas",0,49
19,94,"장갑","gloves",0,14
19,96,"치마","skirt",0,46
19,100,"계단","stairs",0,0
19,101,"냉장고","refrigerator",0,0
19,102,"목욕탕","bathtub",0,76
19,103,"문","door",0,6
19,104,"방","room",0,0
19,106,"부엌","kitchen",0,0
19,107,"서랍","drawer",0,0
19,108,"세탁기","washing machine",0,0
19,109,"소파","couch",0,107
19,110,"옷장","closet",0,26
19,111,"유리","glass",0,0
19,112,"의자","chair",0,57
19,113,"이불","blanket",0,0
19,116,"창문","window",0,0
19,117,"침대","bed",0,35
19,120,"화장실","bathroom",0,0
19,122,"감자","potato",0,79
19,123,"계란/달걀","egg",0,0
19,126,"과일","fruit",0,0
19,128,"국","soup",0,0
19,129,"국수","noodles",0,0
19,134,"닭고기","chicken (food)",0,0
19,138,"땅콩","peanut",0,0
19,146,"배추","cabbage",0,103
19,147,"복숭아","peach",0,89
19,152,"생선","fish (food)",0,0
19,153,"설탕","sugar",0,0
19,155,"수박","watermelon",0,0
19,156,"스파게티","spaghetti",0,0
19,157,"쌀","rice",0,120
19,160,"오렌지","orange (food)",0,0
19,162,"요구르트","yogurt",0,0
19,164,"음식","food",0,0
19,165,"주스","juice",0,0
19,166,"초콜렛","chocolate",0,0
19,168,"커피","coffee",0,0
19,169,"케이크","cake",0,68
19,172,"토마토","tomato",0,76
19,174,"피자","pizza",0,0
19,175,"핫도그","hot dog",0,0
19,179,"고추","penis",0,0
19,183,"등","back",0,0
19,186,"머리카락","hair",0,0
19,187,"목","neck",0,0
19,189,"무릎","knee",0,0
19,195,"뺨","cheek",0,0
19,197,"손가락","finger",0,0
19,199,"얼굴","face",0,0
19,201,"이/이빨","tooth",0,0
19,202,"입","mouth",0,0
19,205,"턱","chin",0,0
19,206,"팔","arm",0,0
19,209,"혀","tongue",0,0
19,210,"가위","scissors",0,34
19,211,"걸레","rag",0,0
19,212,"그릇","bowl",0,53
19,213,"그림","picture",0,0
19,214,"돈","money",0,0
19,215,"라디오","radio",0,2
19,216,"망치","hammer",0,6
19,218,"병","bottle",0,32
19,219,"비누","soap",0,0
19,220,"빗","comb",0,82
